Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Air Quality Index,Happiness Index,Global Warming Index,Global Peace Index,Technology Usage Index,Global Slavery Index
108.5,6.1,2.4,6.5,4.9,8.6,5.1,7.9,6.1,6.1,6.1,7.9,4.2,8.4,4.5,5,4.2,8.4,6.2
107.4,5.7,3.6,6.8,3.9,5.7,6.2,9,5.2,8.3,6.3,8.3,7.6,6.7,5.3,3.6,4.2,6.7,4.2
107,6.9,5.6,5.3,6.5,8.7,6.7,4.1,6.7,4.9,4.9,3.5,6.5,9,3.9,5.5,3.6,8.6,6
107,5.8,3.8,5.9,8.5,6.8,6.6,6.2,6,4.4,5.8,5.1,5.9,7.9,4.8,5.7,4,8.8,5
106.9,6.6,4.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,5.8,6.3,7.3,7.9,4.8,6.2,0,8.5,4.9
106.8,6.5,4,6.1,5.9,7.2,5.2,6.1,6.6,6.3,7.9,5.2,6.1,6.4,4.7,4.4,4.8,7.6,5.8
106.5,7.4,5.5,5.7,6.9,7,6.5,5.9,6.5,6.1,6.4,4.3,5.1,5.5,4.5,5.2,4.4,8,5.7
106.4,5.7,5.3,8.2,5.1,7,3.5,8.1,5.1,8.6,8.5,8,4,3.8,5.7,3.4,6.2,4.4,5.8
106.3,5.9,4.7,5.7,5.7,5.8,6.2,7.8,5.8,7.5,5.4,6.9,5.6,7.5,4.9,5.1,3.6,7.6,4.5
106.1,6.7,7.8,7.1,4.2,6.5,6.5,6.5,4.3,7.4,5.8,6.8,6.2,5.4,5.5,4.8,3.8,6,4.9
106.1,6.7,4.1,4.2,8.3,6.9,6.1,6.3,6.5,5.1,5.7,5.5,8.2,8.3,5.2,5.1,0,8.4,5.4
104.6,6.8,5.6,3.3,5.5,7.3,5.2,7.6,7,6.8,5.4,7.1,5.4,5.8,5.5,5.5,4,5.8,5.1
104.4,5.9,4.7,7,6.1,7.8,4.1,7.1,6.4,5,7,6.7,4.5,4.2,4.6,4.7,4.6,8.2,5.8
104.3,6.6,5.3,4.8,6.3,5.9,5.2,6.5,4.7,7.5,6.3,6.9,6.7,6.2,5.4,5.4,3.8,6.5,4.2
103.9,7.8,6.5,5.7,4.3,8,5.9,5.3,6.3,4.2,5.1,5.6,2.9,9.3,4.5,4.6,4.6,6.3,7
103.6,5.8,5.9,6.5,7,6.9,5.3,6.7,5.9,6.6,6.3,6.6,4.9,2.5,4.9,5,3.8,7.6,5.5
103.2,6.7,5.5,4.9,7.3,6.5,6.1,5.1,7.6,4.7,3.8,5,6,7.8,4.2,5.2,3.8,8,5.1
103,5.5,5.2,7.4,3.1,6.4,3.6,7.8,4,8.9,7.2,8,5.6,8.2,4.8,4.2,4.2,4,4.9
101.7,4.9,7,5.7,6,5.6,5.9,6.6,4.4,6.8,5.3,7,6.2,6.9,5.2,4.2,4.2,5.4,4.5
101.7,4.7,6.6,8,4.7,5.9,6.5,6.3,4.7,5.5,6.5,8,7,3.2,4.7,4.2,3.8,7.2,4.2
100.4,7.1,3.1,4.2,8.4,8,7.5,6.3,6.3,3.1,5.4,5.6,7.9,7,3,4.6,0,7,5.9
99.8,6.4,5.5,6.1,7.9,6.9,5.5,5.4,6.2,5.7,5.2,6.5,5.9,3.6,4.6,5.1,4.2,3.5,5.6
99.4,6.8,2.5,4.8,8.8,6,5.9,6,4.8,4.5,5.5,5.1,8,8.4,4,5.3,0,8.6,4.4
